group,rows,accuracy,macro_f1,recall_p1,support_p1,support_p2,support_p3,support_p4
Segovia,91,0.879121,0.887379,0.913043,46,18,23,4
Leon,484,0.88843,0.893354,0.876344,186,136,130,32
Salamanca,129,0.891473,0.894117,0.872727,55,27,38,9
Zamora,103,0.92233,0.902812,0.903846,52,22,24,5
Avila,137,0.890511,0.908916,0.886792,53,32,46,6
Soria,64,0.90625,0.915883,0.911765,34,13,15,2
Burgos,235,0.923404,0.91969,0.957627,118,54,53,10
Valladolid,134,0.925373,0.935536,0.928571,70,33,26,5
Palencia,75,0.946667,0.948657,0.975,40,14,20,1
