incidente_id,tipo_incidente,prioridad_final,confianza,score,n_reglas,reglas,n_ausentes
1285215060612,trafico,P4,baja,0.0,0,,11
1285215002165,sanitario,P4,baja,0.0,0,,11
1285214735926,sanitario,P1,baja,26.6,1,RD1,10
1285214364389,trafico,P4,baja,0.0,0,,11
1285214320411,trafico,P4,baja,0.0,0,,11
1285214278321,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285213928089,trafico,P1,media,30.36,1,RD1,9
1285213926417,trafico,P1,media,30.36,1,RD1,9
1285213867846,trafico,P1,media,30.36,1,RD1,9
1285213856454,sanitario,P1,baja,26.6,1,RD1,10
1285213764203,incendio_vivienda,P1,media,30.36,1,RD1,9
1285213739435,trafico,P1,media,30.36,1,RD1,9
1285213679606,sanitario,P1,baja,26.6,1,RD1,10
1285213106932,trafico,P1,baja,26.6,1,RD1,10
1285212658224,trafico,P4,baja,0.0,0,,11
1285212654795,trafico,P1,media,30.36,1,RD1,9
1285212640920,trafico,P1,baja,26.6,1,RD1,10
1285212621813,trafico,P4,baja,0.0,0,,11
1285212600308,trafico,P1,baja,26.6,1,RD1,10
1285212333403,sanitario,P1,baja,26.6,1,RD1,10
1285211998649,trafico,P4,baja,0.0,0,,11
1285211990179,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285211974918,trafico,P4,baja,0.0,0,,11
1285211970808,trafico,P1,media,30.36,1,RD1,9
1285211808757,trafico,P1,baja,26.6,1,RD1,10
1285211567926,trafico,P1,baja,26.6,1,RD1,10
1285211197350,trafico,P4,baja,0.0,0,,11
1285211165194,trafico,P1,baja,26.6,1,RD1,10
1285211160165,trafico,P4,baja,0.0,0,,11
1285210733892,trafico,P1,baja,26.6,1,RD1,10
1285210724265,trafico,P1,baja,26.6,1,RD1,10
1285210671348,trafico,P4,baja,0.0,0,,11
1285210349728,trafico,P1,media,30.36,1,RD1,9
1285210347194,trafico,P1,baja,26.6,1,RD1,10
1285210338367,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285210329053,trafico,P4,baja,0.0,0,,11
1285210299766,trafico,P1,baja,26.6,1,RD1,10
1285210298854,trafico,P4,baja,0.0,0,,11
1285209709719,trafico,P1,media,30.36,1,RD1,9
1285209393673,trafico,P1,baja,26.6,1,RD1,10
1285209012876,trafico,P4,baja,0.0,0,,11
1285208967892,trafico,P1,baja,26.6,1,RD1,10
1285208929314,trafico,P1,media,30.36,1,RD1,9
1285208586550,trafico,P1,baja,26.6,1,RD1,10
1285208526145,sanitario,P4,baja,0.0,0,,11
1285208516262,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285208173737,inundacion,P4,baja,8.99,0,,9
1285208166154,trafico,P1,baja,26.6,1,RD1,10
1285208140654,trafico,P1,baja,26.6,1,RD1,10
1285208079223,rescate,P4,baja,0.0,0,,11
1285208049984,trafico,P1,media,30.36,1,RD1,9
1285208044512,trafico,P4,baja,0.0,0,,11
1285207846945,trafico,P4,baja,0.0,0,,11
1285207681395,trafico,P1,baja,26.6,1,RD1,10
1285207643516,trafico,P4,baja,0.0,0,,11
1285207383884,trafico,P1,baja,26.6,1,RD1,10
1285206940132,trafico,P4,baja,0.0,0,,11
1285206493857,trafico,P4,baja,0.0,0,,11
1285206469876,trafico,P4,baja,0.0,0,,11
1285206457074,trafico,P1,baja,26.6,1,RD1,10
1285206404569,trafico,P4,baja,0.0,0,,11
1285206245620,sanitario,P4,baja,0.0,0,,11
1285206176633,rescate,P4,baja,0.0,0,,11
1285206135333,trafico,P1,media,30.36,1,RD1,9
1285205656637,trafico,P4,baja,0.0,0,,11
1285205198087,trafico,P4,baja,0.0,0,,11
1285205179466,trafico,P4,baja,0.0,0,,11
1285205021250,trafico,P1,baja,26.6,1,RD1,10
1285204872473,trafico,P4,baja,0.0,0,,11
1285204781707,rescate,P4,baja,0.0,0,,11
1285204486423,trafico,P1,media,30.36,1,RD1,9
1285204478742,rescate,P4,baja,0.0,0,,11
1285204112850,trafico,P4,baja,0.0,0,,11
1285204109441,trafico,P1,baja,26.6,1,RD1,10
1285204076820,rescate,P4,baja,0.0,0,,11
1285204071025,inundacion,P1,baja,35.59,1,RD1,8
1285204046957,trafico,P1,baja,26.6,1,RD1,10
1285204021623,trafico,P1,media,30.36,1,RD1,9
1285203649935,trafico,P4,baja,0.0,0,,11
1285203622266,trafico,P1,baja,26.6,1,RD1,10
1285203591298,trafico,P4,baja,0.0,0,,11
1285203264932,sanitario,P4,baja,0.0,0,,11
1285203205697,trafico,P1,media,30.36,1,RD1,9
1285202840879,trafico,P1,media,30.36,1,RD1,9
1285202820915,trafico,P1,baja,26.6,1,RD1,10
1285202492595,rescate,P4,baja,0.0,0,,11
1285202281676,trafico,P4,baja,0.0,0,,11
1285202265088,rescate,P1,baja,26.6,1,RD1,10
1285202258598,trafico,P4,baja,0.0,0,,11
1285202255166,trafico,P4,baja,0.0,0,,11
1285202229123,trafico,P1,media,30.36,1,RD1,9
1285202220389,trafico,P1,baja,26.6,1,RD1,10
1285202206428,trafico,P1,baja,26.6,1,RD1,10
1285202203443,inundacion,P4,baja,8.99,0,,9
1285202168036,incendio_vivienda,P4,baja,0.0,0,,11
1285202163402,trafico,P4,baja,0.0,0,,11
1285202063260,trafico,P1,media,30.36,1,RD1,9
1285201881633,trafico,P4,baja,0.0,0,,11
1285201689907,trafico,P1,baja,26.6,1,RD1,10
1285201615589,trafico,P4,baja,0.0,0,,11
1285201399679,trafico,P1,baja,26.6,1,RD1,10
1285201389265,trafico,P4,baja,0.0,0,,11
1285201330459,trafico,P1,media,30.36,1,RD1,9
1285201326741,inundacion,P4,baja,8.99,0,,9
1285201098061,trafico,P1,media,30.36,1,RD1,9
1285200672030,trafico,P1,media,30.36,1,RD1,9
1285200662027,trafico,P1,media,30.36,1,RD1,9
1285200641214,trafico,P1,media,30.36,1,RD1,9
1285200638421,incendio_vivienda,P4,baja,0.0,0,,11
1285200614189,trafico,P1,baja,26.6,1,RD1,10
1285200601285,trafico,P1,media,30.36,1,RD1,9
1285200527303,trafico,P1,baja,26.6,1,RD1,10
1285200205498,trafico,P4,baja,0.0,0,,11
1285200082606,sanitario,P4,baja,0.0,0,,11
1285200057689,trafico,P1,media,30.36,1,RD1,9
1285199883958,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285199852695,trafico,P1,media,30.36,1,RD1,9
1285199841017,trafico,P1,baja,26.6,1,RD1,10
1285199832608,incendio_vivienda,P4,baja,0.0,0,,11
1285199760303,trafico,P4,baja,0.0,0,,11
1285199111806,inundacion,P4,baja,8.99,0,,9
1285198883835,trafico,P1,baja,26.6,1,RD1,10
1285198856145,trafico,P1,media,30.36,1,RD1,9
1285198853491,trafico,P4,baja,0.0,0,,11
1285198824877,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285198821344,trafico,P1,baja,26.6,1,RD1,10
1285198813311,sanitario,P4,baja,0.0,0,,11
1285198810790,trafico,P4,baja,0.0,0,,11
1285198808716,trafico,P1,baja,26.6,1,RD1,10
1285198805501,trafico,P4,baja,0.0,0,,11
1285198803718,sanitario,P4,baja,0.0,0,,11
1285198803041,trafico,P4,baja,0.0,0,,11
1285198783025,sanitario,P4,baja,0.0,0,,11
1285198776388,trafico,P4,baja,0.0,0,,11
1285198705569,sanitario,P1,media,30.36,1,RD1,9
1285198571852,trafico,P4,baja,0.0,0,,11
1285198561630,trafico,P1,baja,26.6,1,RD1,10
1285198536176,trafico,P1,media,30.36,1,RD1,9
1285198472538,trafico,P4,baja,0.0,0,,11
1285198249915,trafico,P1,baja,26.6,1,RD1,10
1285198073788,trafico,P1,baja,26.6,1,RD1,10
1285197993748,trafico,P1,baja,26.6,1,RD1,10
1285197987228,trafico,P1,baja,26.6,1,RD1,10
1285197727034,trafico,P1,baja,26.6,1,RD1,10
1285197717760,trafico,P1,baja,26.6,1,RD1,10
1285197669065,trafico,P1,baja,26.6,1,RD1,10
1285197662951,trafico,P1,baja,26.6,1,RD1,10
1285197655864,trafico,P1,baja,26.6,1,RD1,10
1285197536568,trafico,P4,baja,0.0,0,,11
1285197463425,rescate,P4,baja,0.0,0,,11
1285197457601,trafico,P1,baja,26.6,1,RD1,10
1285197453856,rescate,P4,baja,0.0,0,,11
1285197414639,trafico,P4,baja,0.0,0,,11
